title,num_en_stopword,num_long_vn_word,num_major_word,num_not_alphabet_word,num_only_one_letter,num_other_word,num_short_vn_word,views_count
Loại bỏ CSS không sử dụng với PurgeCSS,1,131,109,5,1,58,101,830
Cách cài giả lập Android bằng Dòng lệnh (cho Windows),0,34,27,0,0,10,39,270
Gỉa mạo APIs cho môi trường development và staging,2,124,112,0,0,42,90,127
Tìm hiểu về Webpacker ở Rails 6 | Part 2: Sử dụng Packs trong Webpacker,0,73,121,0,0,15,35,156
css.gg bộ icons chỉ từ CSS,0,31,38,0,0,0,13,1068
"Dựng simple project với nextjs, redux, reactjs , redux-saga, học phải đi đôi với hành :#)",1,23,46,0,3,8,14,1520
Tìm hiểu bảo mật website và những điều cần biết,0,559,137,6,0,56,178,198
Many ways to use `console`,63,1,42,1,6,34,0,91
Microservices Architecture,1,308,186,0,1,57,83,1436
"Create Chat in Rails API, ReactJS, Redux Saga",0,30,58,0,0,32,37,180
Faster pagination with Pagy,30,0,29,0,2,24,0,328
Fibonacci Search,255,0,192,3,25,195,0,285
Vọc vạch Angular - Tips sửa lỗi display flex khi tạo component,0,8,32,0,1,11,14,137
Cải thiện hiệu năng của RecyclerView,6,103,76,1,1,69,60,346
Tạo ra swipe views với các tab sử dụng ViewPager 2,0,24,23,0,0,20,32,475
5 lời khuyên khi làm việc với nhóm kiểm thử phân tán,0,216,9,0,0,12,43,47
Test Plan là gì? Những thông tin cơ bản cần biết về test plan ^^,1,420,87,0,0,37,84,229
Tìm hiểu về API testing cơ bản,0,189,143,0,0,15,59,155
[Swift] SwiftUI: Color,0,27,10,0,0,12,18,111
Một vài thủ thuật CSS mà chính Frontend có thể còn chưa biết (Phần 21),0,70,106,0,0,27,66,1329
Implement SearchView không có filter với RxJava,0,34,69,0,3,39,22,133
Unsafe Swift: Sử dụng Pointers và tương tác với C Part 2,7,50,88,0,1,39,68,61
Manual testing và Automation testing,0,260,83,6,0,8,66,292
5 tips tăng hiệu năng project react của bạn,12,80,93,3,4,24,77,285
Sử dụng PhpWord để tạo file word từ mẫu cho trước,2,76,20,0,0,36,71,624
Tìm hiểu về Kotlin Coroutines (P1),39,79,134,1,8,120,70,165
lvalue and rvalue trong C++,1,76,17,0,5,25,27,297
The Result Type,0,127,35,1,1,17,58,29
Kiểm Thử Phần Mềm Dành Cho Người Mới Bắt Đầu (Phần IV),1,712,97,0,19,58,142,106
Áp dụng nội địa hoá cho dữ liệu trong ứng dụng (Localization / L10N),3,139,16,0,0,20,65,418
Thao tác cơ bản với Store Procedures,0,62,33,0,2,21,49,98
"Cách JavaScript hoạt động: Khái niệm về Engine, Runtime và Call Stack trong JavaScript",6,144,157,7,4,21,126,3241
Các công cụ kiểm tra phần mềm giá rẻ và miễn phí,4,335,73,9,2,103,120,204
Sử dụng Child View Controller như plug-in trong Swift,1,59,87,0,0,1,31,73
Framework Nestjs - Middleware,0,53,50,0,0,29,33,495
Hiệu năng của ConstraintLayout,6,38,38,0,3,20,20,142
Lấy thumbnail và video data bằng Google Cloud Function và upload Google Cloud Storage,0,103,185,2,0,65,100,190
ES6 Destructuring,66,90,191,0,15,236,76,107
Javascript: Error Handling,6,54,18,2,3,15,59,83
Xây dựng văn hóa Phần Mềm Chất Lượng,20,231,48,1,2,47,120,82
Bắt đầu với NoSQL và MongoDB,13,491,192,4,2,111,180,1047
Các metrics đánh giá chất lượng công việc & hiệu quả hoạt động của Scrum Team,9,189,172,0,5,117,51,309
Cursor not found trong MongoDB,18,68,129,0,3,85,69,199
Tìm hiểu về class activation maping - Tại sao các mạng thần kinh lại đưa ra quyết định như vậy?,0,109,69,0,8,69,178,813
Tạo API documentation 'xịn xò' với API Blueprint,0,98,99,0,0,29,53,1911
Hướng dẫn kết nối FTP bằng FileZilla,0,67,46,0,1,29,25,102
The Ultimate Angular CLI Reference Guide,42,136,410,1,10,200,72,84
Thư viện Combine và những nguyên tắc khi sử dụng,1,62,61,0,1,49,29,146
Awesome Laravel - Tips & Tricks (Phần 2),3,77,74,0,0,31,50,177
Thực hành Vue.js cho người mới bắt đầu (P5),0,122,119,7,1,34,99,141
30 thư viện và dự án Android tốt nhất năm 2019,69,493,288,20,10,204,218,942
Learning Xamarin from beginning - Ep 1 - My first App,0,44,100,0,2,35,31,206
Kiểm thử phần mềm (testing) và tester,0,454,15,0,1,6,112,138
Remove element from array in javascript,25,29,103,0,4,48,19,402
"Php 7.4 có gì hot ? Hiệu năng, tính năng ?",4,137,106,0,4,44,73,164
Singleton Pattern trong Java,1,124,87,2,0,26,42,241
Truyền HTML từ một chuỗi HTML,0,14,3,0,0,0,12,150
Laravel - Master layout với blade template,0,33,47,0,0,6,36,537
5 cách để convert một giá trị thành String trong JavaScript,0,33,21,5,0,23,41,145
Hiểu hơn về Copy-on-Write trong Swift 5,2,48,39,0,4,22,40,96
"[Front-End] Cùng tìm hiểu về Ant Design, một thư viện đắc lực của Front-End",7,214,66,0,0,57,33,1931
Mongo Replica Set on Docker,12,101,160,0,7,55,93,918
Những tính năng hay ít người biết trong Laravel,4,98,54,0,5,46,61,332
Gem Draper,3,34,90,0,4,30,33,20
"Android Fragment Lifecycle: onViewCreated(…) không phải lúc nào cũng được gọi. Không dùng XML có ưu, nhược điểm gì?",0,17,49,0,0,13,26,207
Build a responsive navbar with flexbox,191,2,82,0,9,127,0,73
Những sai lầm trong quản lý Requirements,0,302,27,3,0,4,61,84
Form trong VueJS,1,81,67,0,0,24,49,79
CORS là gì? CORS với Nodejs,3,62,74,0,1,29,45,2439
Giao thức Equatable trong Swift là gì?,0,42,8,0,0,7,14,169
Tìm hiểu về SwiftUI (Phần 4): Xây dựng context menu cho List View,5,38,97,4,5,27,36,88
Tìm hiểu về Apache Spark,0,168,120,8,2,43,65,1945
Scope và closures trong Javascript,1,76,76,0,3,10,80,52
"So sánh localStorage, sessionStorage và cookies",1,23,99,0,0,17,27,1773
Hướng dẫn viết một Extension trên Chrome,0,46,90,0,1,9,38,517
Hash Functions in PHP,4,152,19,0,0,26,86,540
Rails full text search with SQLite,197,0,149,0,13,144,0,203
Gửi email bằng ActionMailer và Mailgun thông qua API Mailgun,0,45,54,1,1,29,32,85
JavaScript Clean Code: Error Handling,2,33,4,0,0,4,39,68
Một số cú pháp bị lãng quên trong JavaScript (Part 3),0,46,19,0,1,5,16,84
Hiển thị client-side local time với gem local_time,7,12,34,0,1,39,10,29
Pentest và sử dụng Burp Suite vào quá trình pentest,7,335,131,8,0,95,120,271
Giới thiệu Xdebug trong PHP với vscode,1,56,33,0,2,25,37,569
Quản lí các quyền của người dùng trong Django,30,119,158,4,0,96,61,671
"Giới thiệu về Deep Learning, thư viện Keras",2,184,106,11,9,69,67,806
Tips cải thiện hiệu năng code Rails,0,31,30,0,0,6,23,35
Làm Lightbox với thư viện Magnific Popup,3,31,66,0,0,20,18,620
Thực hiện chức năng lưu log trong laravel với Laravel Activitylog,1,84,76,0,6,11,63,476
[Javascript] Khôn ngoan trong việc sử dụng collections,0,89,66,0,1,19,96,1006
Management role in rails app with gem pundit,181,0,104,2,14,84,0,101
Tìm hiểu những điều cần lưu ý khi làm việc với API,7,161,247,0,2,82,66,741
Preview Android 11 dưới góc nhìn của developer,7,119,69,0,6,59,54,196
"[JS tips] Các ""chiêu trò"" JS tưởng không hay mà hay không tưởng (phần 5)",4,94,20,0,14,14,148,1355
Giải thích ngắn gọn về ngôn ngữ lập trình bậc cao và ngôn ngữ lập trình bậc thấp.,0,215,27,7,4,14,94,735
"Phân biệt các role của QA Engineering: Skills, Tools, và Responsibilities trong một Testing Team",165,946,682,13,23,383,187,233
Tìm hiểu cách xử lý ngày giờ với thư viện date-fns.,2,63,16,0,9,36,55,253
Clean Code - Chapter 6: Objects and Data Structures,36,373,69,2,6,94,153,193
Pagination in Laravel,5,65,58,0,3,50,78,535
Guide cơ bản về LaTex,4,50,22,0,0,32,19,115
4 Plugins để xây dựng SelectBox tốt nhất,2,99,60,2,0,40,36,159
Giảm bớt sự đơn điệu cho trang web của bạn với Gradient Button,0,66,32,0,3,11,33,404
Record Audio trong swift,0,35,21,0,0,9,20,69
6 quan điểm sai lầm khi thảo luận về kiểm thử phần mềm,0,349,9,0,0,0,76,25
"Đặc điểm của  ""A Bad Software Tester"" mà Tester nên cải thiện",2,370,8,0,0,8,96,33
10 khái niệm về Javascript bạn cần biết để phỏng vấn (P4): new,24,34,40,12,1,17,29,167
Jquery tới Javascript,0,14,15,0,0,9,17,62
Làm thế nào để quản lý test case tốt,0,161,186,0,0,27,48,195
Dependency Injection với Koin trong Android,0,24,86,0,10,35,14,757
1 số mẹo có thể bạn chưa biết trong CSS,1,58,40,1,2,23,54,131
Cách tạo đường viền bằng icon trong CSS,0,26,11,0,0,4,20,226
Kiểm thử tiêu cực  là gì và làm thế nào để viết các trường hợp  kiểm thử này ?,1,381,30,0,0,37,101,88
Tìm hiểu về Component trong laravel 7.x,8,103,111,0,6,14,74,1310
Từng Bước Học Vue 2 Tập 4,1,38,50,0,0,17,32,42
"Khởi tạo biến JavaScript - Khi nào nên sử dụng let, var hay const?",13,68,28,0,3,29,61,135
Một số tip để tăng tốc độ cho React App,1,114,100,4,1,22,54,127
Sử dụng theme với styled-component trong Reactjs,0,28,81,2,0,28,40,154
Checkbox và Toggle Switch trong UX Design,4,135,68,0,0,52,44,73
SWIFT: Custom action cho Tab bar item,1,29,68,1,1,14,25,660
Debug PHP bằng PhpStorm,1,76,91,0,1,19,59,722
Một số tip & tricks sẽ giúp bạn kiểm soát ReactJS dễ dàng hơn ( Phần 2 ),4,53,70,0,0,22,28,202
I have missed bug?,0,329,35,0,1,5,70,70
Xử lý bất đồng bộ trong Javascript,2,110,58,0,12,5,111,164
[For beginners in PM] Part 1: Integration Management,4,504,39,0,1,33,42,335
Biến Object thành Array trong Javascript với ES7,0,28,1,0,1,11,22,286
Tìm hiểu một số khái niệm và kĩ thuật thường dùng trong Git (Phần 1),0,263,316,0,0,31,185,2352
[Today I Learn][21-03-2020] Modeling Tweeter Post sử dụng Dgraph,0,84,93,0,0,64,94,145
Làm quen với ASP .NET MVC  CODE FIRST,1,91,147,2,4,75,68,1715
Gem Grape sự lựa chọn hàng đầu khi viết Api,1,103,99,0,0,44,50,100
Tìm hiểu về Smoke testing,4,405,110,0,2,62,118,152
Tricks bạn nên biết khi làm việc JS,7,30,13,0,0,7,15,119
MỤC TIÊU CỦA KIỂM THỬ PHẦN MỀM ĐỂ LÀM GÌ?,0,219,1,0,6,2,29,50
Autoload Method trong Ruby,0,52,33,0,18,36,72,43
Tối đa hóa việc tái sử dụng mã trong React,5,150,63,5,5,24,48,185
Kỹ thuật mới căn chỉnh text vào trung tâm của border ngang đơn giản,0,13,22,0,0,6,16,776
clean code - ý nghĩa của những cái tên và chức năng,51,78,78,4,9,48,105,829
Kiểm thử ứng dụng Mobile,1,346,43,0,0,25,79,42
Những giao diện người dùng tuyệt vời! - Phần 3,0,97,0,0,0,1,31,81
Cross-window communication,6,91,20,0,1,8,50,53
Remote Synchronization (Rsync) on Linux via PHP,0,124,73,1,4,42,101,208
"Introduction to BIG DATA: What is, Types, Characteristics & Example",7,298,89,0,1,123,70,96
Caching with Rails (part 1): Fragment and Russian Doll caching,0,64,125,0,0,19,45,37
Định nghĩa test plan và những lưu ý khi tạo test plan,1,358,43,1,1,33,46,139
Dispatch Group trong Swift,0,27,79,0,2,12,35,957
Tại sao bạn nên kiểm thử trên môi trường Production?,1,383,72,4,0,29,75,86
[Tìm hiểu Angular 7] Xây dựng ứng dụng với Angular (Phần 2),18,130,279,0,7,149,75,173
Phân quyền đơn giản với package Laravel permission,2,68,68,0,0,15,44,3490
Associations Mapping in Symfony,2,102,41,0,12,62,44,52
Kiểm tra môi trường kiểm thử phần mềm,1,502,27,0,0,21,82,36
Make snapping RecyclerView android,0,22,18,0,0,14,3,287
Giải thích về API dành cho người nhập môn IT,1,116,182,0,0,20,65,236
Xây dựng một ứng dụng Restful API đơn giản với Rails 5 (Phần 2),4,56,46,0,0,23,30,69
Working With Dispatch Queues trong swift,3,69,48,0,0,21,43,118
"Hooks, Render Props và Higher-Order Components",5,42,136,0,12,46,31,517
Tìm hiểu về bộ nhớ Stack vs Heap trong Java,4,141,110,2,0,25,102,3244
Sealed class in Kotlint and more,26,27,122,20,14,97,23,51
Method Swizzling là gì?,3,57,50,0,0,39,50,148
TÌm hiểu về GraphQL,3,119,156,0,0,40,86,1396
Browser testing với Laravel Dusk (Làm việc và thao tác với DOM),41,107,124,5,10,90,55,163
Tổng quan Immutability trong React và Redux!,0,84,81,0,7,44,81,129
Đồ thị UML và tầm quan trọng của đồ thị UML trong phát triển phần mềm[2],0,166,51,0,0,27,45,227
Quản lý audio focus trong Android,0,55,72,0,0,52,31,221
Những kỹ năng cần thiết cho một lập trình viên Ruby on Rails,5,356,68,0,1,10,130,158
Điều gì xảy ra khi bạn gọi một method trong Ruby?,2,71,111,0,0,30,58,71
Điều hướng trang (Redirect) trong JavaScript,0,55,33,1,2,13,62,522
SWIFT: Tại sao bạn nên tránh sử dụng Default Implementations trong Protocols,8,133,69,2,1,23,47,41
Thực thi các lệnh Shell với Python,5,114,62,0,3,54,112,897
Chia sẻ về Software Test Estimation,6,261,191,8,5,75,82,103
Tìm hiểu về kiểm thử ứng dụng truyền thông xã hội,0,385,12,0,0,3,44,17
Hướng dấn tạo Pivot cho Object trong Unreal,0,24,40,0,1,33,26,65
Hiệu ứng Shimmer Placeholder trong Android,0,66,57,0,0,43,39,186
Charles là gì - Ứng dụng công cụ Charles vào kiểm thử,5,105,131,8,0,59,51,279
API Testing và sử dụng Postman cho API Testing,3,109,206,20,0,23,45,734
PART 2: NESTJS - TypeORM(SQL),2,27,51,0,4,32,24,849
State Machine và cách sử dụng gem AASM,0,96,50,0,1,30,40,206
The magic in Kotlin: Delegates,1,29,35,0,0,10,29,72
Selenium WebDriver – How To Improve Your Assertions Using AssertJ,3,77,33,1,0,20,24,32
Vai trò của tệp tin đính kèm (Attachment / Evidence) trong báo cáo lỗi,0,230,68,28,0,57,158,156
Cơ bản về Coroutines (tiếp),7,46,40,0,0,30,69,61
Loadbalancing - Các vấn đề ảnh hưởng đến performance.,3,90,56,0,4,33,77,1979
Sử dụng animation tạo hiệu ứng particle,1,17,34,0,1,10,9,118
[Deep Learning] Thiết kế module OCR cho bài toán nhận diện chữ cổ Nhật Bản - Building OCR module for Kuzushiji recognition,8,369,296,1,24,219,214,3871
N-Puzzle game with React,0,59,18,0,3,39,67,219
HỌC REACTJS THÔNG QUA VÍ DỤ [PHẦN 11]: TAB GALLERY,2,84,137,3,10,150,56,575
Làm quen với Notification android,15,29,72,0,3,70,22,96
Splitting up Swift types,5,218,116,3,2,34,68,27
Import access database vào mysql,0,15,45,0,0,10,11,164
Smoke testing vs Sanity testing,0,206,88,5,0,49,50,27
Một vài chia sẻ về OOP trong Javascript,0,57,22,0,2,10,29,66
"Ứng dụng Selenium cho SelectBox, RadioBox, Drop-down và liên kết hình ảnh",2,145,56,0,0,60,34,117
Một vài điều thú vị với bash script,4,72,73,0,5,15,60,482
Tìm hiểu Command and Query Responsibility Segregation pattern,2,441,207,0,0,60,187,230
Giới thiệu slot và scoped slots trong Vue.js,0,47,74,3,0,19,35,261
[Today I Learn][20-03-2020] Sử dụng multiple language tags trong Dgraph,0,57,50,0,0,23,52,92
"Kiểm thử dựa trên rủi ro là gì? Xác định, đánh giá, giảm thiểu và quản lý rủi ro",0,527,21,0,0,6,63,79
Một vài thủ thuật làm việc với các dạng layout - Phần 1,0,44,60,0,1,20,43,1100
Understanding Kotlin limitations for type parameter positions,5,81,59,0,6,65,85,35
Design Pattern: Prototype Pattern,2,17,42,0,2,13,7,385
"Thế nào là Good Code, Bad Code?",1,86,38,5,1,18,48,119
Một vài chia sẻ khi ứng dụng Typescript vào ReactJS App,2,102,117,1,2,37,59,1260
Tìm kiếm tự động  trong  laravel sử dụng  Jquery Autocomplete,0,73,51,0,1,34,51,561
Test Level - Test types,7,723,207,23,0,60,139,350
Học ReactJs từ số 0 - Advance - P1 - Context,5,52,78,0,0,5,29,124
Hướng dẫn tạo table dữ liệu động với reactjs,1,32,26,0,0,11,26,780
GCD cho người mới bắt đầu!,1,89,32,0,0,15,58,53
Javascript things,5,78,68,0,4,13,86,626
jQuery i18n những điều nên biết,9,54,52,0,3,19,60,188
Một số Tips để làm việc hiệu quả hơn với Laravel,5,86,126,1,0,42,49,121
Kỹ thuật đoán lỗi trong kiểm thử phần mềm,1,155,38,0,0,9,81,386
Evil Twin,1,358,45,0,0,75,120,219
Một số hàm có chức năng tương tự nhau giữa PHP và JavaScript,0,80,49,0,1,15,109,504
Design Pattern - Visitor Pattern,0,106,45,0,0,62,61,89
"Internal, External Storage and Scoped Storage in Android",2,158,87,0,1,37,62,628
Giới thiệu về Intent Classification,0,175,34,0,0,32,78,244
Android Dependency injection with Koin,2,85,90,0,0,49,49,254
Android: Cải thiện perfomance của RecyclerView,2,80,122,1,2,60,72,411
Scheduler trong RxSwift ?,12,183,200,0,15,130,77,272
Sự khác biệt chính của thiết bị kiểm thử thật với Simulator và Emulator,0,473,38,0,4,36,147,31
Những điều cần biết về Promise - JavaScript,2,59,144,0,15,96,41,1509
Điều chỉnh view screen khi xoay device trong React Native,0,55,41,0,5,24,35,626
Deploy EC-CUBE trên Amazon EC2 AMI-Linux,0,151,154,1,2,57,70,139
8 kiểu cấu trúc dữ liệu mà mọi lập trình viên cần phải biết.,2,312,201,0,20,48,225,6523
Android: Tìm hiểu về Android KeyStore,19,60,56,0,3,58,64,542
Connect MySQL Database trên EC2 từ MySQL Workbench tại máy local,0,52,88,0,3,25,38,378
"Cùng học Kotlin Coroutine, phần 10: Flow (part 3 of 3)",0,72,82,0,3,32,104,466
Tìm hiểu về Unit Testing,0,240,43,0,2,20,72,336
Rx Android,256,0,207,1,14,153,0,66
Sử dụng Task Scheduling trong Laravel,8,31,59,0,2,33,29,223
Tìm hiểu Vue composition API (phần 1),0,120,137,0,0,28,95,422
Risk Coverage trong software testing,1,205,58,2,5,51,45,95
"Tìm hiểu về kiểm thử ""Response Time""",0,153,36,0,0,13,54,89
Chụp 1 bức ảnh bằng Camera2 API (Android),0,76,62,0,0,66,120,236
Google Play Referrer,0,58,59,0,1,33,28,178
Tạo màn hình Introduction như Reflectly trong Flutter với 2 cách khác nhau,6,113,100,0,3,63,69,267
[Flutter] Tìm hiểu về state management với Provider,0,41,64,0,0,12,10,3325
Bắt đầu với Vue.js,0,21,11,0,0,0,11,198
iOS design pattern (Part2),19,81,125,2,1,79,43,95
Thủ thuật cache sidebar trong Laravel,0,48,82,0,0,14,21,764
"Dependency injection in Android - 2.Dependency injection bằng ""tay""",4,172,112,0,5,63,73,121
[Today I Learn][19-03-2020] - Các thao tác cơ bản với Dgraph Database,2,132,125,0,2,78,151,233
Lấy UDID Của iPhone iPad Không Cần USB CABLE,2,76,36,0,2,16,36,1164
20 Best Android App Templates of 2020 (P2),2,183,36,0,0,26,84,185
How To Pack Javascript Code with Webpack,2,102,24,0,0,7,81,77
Một bài học nhỏ về network trong docker-compose,3,19,59,0,0,13,38,586
Android 11 - Behavior changes,0,275,62,0,0,68,124,128
8 interesting facts about Python in the eye of a newcomer,9,52,38,1,8,31,65,29
Tìm hiểu Regular Expression (phần 2),1,99,53,0,0,23,100,557
[iOS] Adding Swift Package Dependencies to iOS App,2,56,89,0,2,31,21,132
Tăng cường dữ liệu trong deep learning,2,201,96,5,2,112,185,780
Giới thiệu về Active Job trong Rails,1,110,75,0,1,103,113,178
Các tính chất của OOP trong Ruby on rails,0,67,57,0,5,8,57,292
Swift — Codable,0,21,69,0,0,22,22,148
5 lời khuyên cho các cuộc phỏng vấn technical,2,182,7,0,5,1,86,210
Interface ở Kotlin có gì hot?,0,116,80,0,12,0,42,383
Google Analytics trong Firebase có gì mới?,0,240,74,0,2,41,90,488
ReactDnd and example,1,84,67,0,1,64,74,186
Tạo Icon từ SVG (P2),2,29,45,0,0,10,22,96
iOS: Các tips để dễ dàng khắc khục crashes và bugs,2,110,27,11,0,17,41,109
Tìm hiểu shell script - P1,1,66,37,0,0,3,81,217
Kotlin's In & Out type variant,26,77,54,0,0,59,46,75
Bàn luận về cách kiếm tiền từ ứng dụng di động,1,464,124,0,1,60,278,2403
Xây dựng layout giống YOUTUBE New,0,74,16,0,0,33,55,434
Frontend Testing và Backend Testing: Có gì khác nhau?,0,232,137,0,0,28,51,304
Introduction to Recommender Systems,2,512,70,4,81,198,207,436
Lợi ích của Stream khi làm việc với dữ liệu lớn trong Nodejs,1,73,54,0,0,12,39,742
"Laravel, Vuejs, Vue Router",0,50,93,0,1,19,36,1230
Xử lý lỗi và Exception trong PHP,0,163,53,10,2,54,146,513
Selenium WebDriver - Tương tác người dùng (II),5,45,33,0,1,21,19,156
Lập Lịch Công Việc Với WHENEVER VÀ DELAYED_JOB Trong Rails,0,65,24,5,1,49,49,96
So sánh cơ bản VueJS và ReactJS,2,160,88,0,0,20,49,194
Linux: Làm quen với useradd,4,64,40,0,3,17,25,638
Top 10 lý do để trở thành DevOps| Con đường DevOps (part 2),0,183,53,0,0,21,36,193
Truyền dữ liệu (pass data) giữa các ViewController trong Swift (Phần 2),8,143,244,1,17,123,107,492
Sử dụng Ajax đơn giản với Django,1,211,203,4,0,43,116,1631
Tìm hiểu về Google Analytic,0,201,102,0,11,54,134,506
Ví dụ tự tạo Add và Remove select box với jquery và nested attributes,0,12,6,0,0,16,3,64
Có gì mới ở phiên bản PHP 7.4?,1,70,108,1,2,58,38,933
Một số cách tạo Effect cho Text Link với CSS,0,54,31,0,3,9,60,182
Design Pattern: Mediator Pattern,2,54,27,0,2,25,19,403
Sử dụng Django Check Constraints để kiểm tra ràng buộc các trường phần trăm,20,43,58,0,3,51,29,73
Signal trong Python,8,38,91,1,5,96,30,466
HTTP/3 là gì?,1,453,275,0,9,185,278,1695
Authenticate JWT với Vuejs và Laravel,0,33,66,0,2,23,36,1238
"Sê ri Js chán thấy mồ ! - ""use strict"" trong Javascript",0,19,17,0,0,4,14,93
2. Built-In Collections: Array (2),3,88,55,0,4,25,108,88
Top Awesome jQuery Accordion Plugins,1,42,47,0,0,31,23,139
Liên kết Firebase đến App Flutter cho Android và iOS.,0,46,82,0,0,15,24,1100
Thực hiện  dependency injection(DI) một cách thủ công,1,126,80,0,6,48,73,609
The Z-pattern Layout Kiểu thiết kế giao diện bạn cần biết,0,87,14,0,3,32,72,786
"Thành thạo Kotlin standard functions: run, with, let, also and apply",9,89,65,0,0,29,42,123
Tìm hiểu sâu hơn về True/False trong python,0,24,23,0,0,18,23,523
Làm quen với Keras,15,18,60,0,1,195,7,2740
Nginx là gì?,0,205,117,0,1,37,93,2903
Cùng tìm hiểu Hook là gì và một số hàm cơ bản của hook trong reactjs,0,71,113,0,0,22,74,1558
Sử Dụng Xcode Targets Để Quản Lý Development and Production Builds,3,95,174,0,0,43,45,160
Giải trí mùa corona - Ứng dụng Deep Learning tự động chơi game oản tù tì với deeplearn.js,1,261,155,0,2,72,211,1503
Ẩn scrollbar của phần tử HTML nhưng vẫn cuộn được,0,10,11,0,0,4,9,497
Tạo Icon từ SVG (P1),0,47,41,0,0,9,34,935
Từ tag script của html cho tới Webpack,0,2,3,0,0,0,3,108
Cheat xíu xiu như VIP account NhacCuaTui.Com,0,29,30,0,1,14,33,3706
React: Mẹo vặt để cột bớt đau khổ (giữa muôn vàn đau khổ huhu),0,45,72,0,2,6,44,1044
ReactJS: Một vài lỗi thường gặp khi làm việc với React,0,39,56,0,0,11,29,441
APP_KEY in Laravel,1,149,50,0,0,40,69,1793
Cùng tìm hiểu về HTTP response status codes .,17,395,131,5,5,107,99,1192
"Hiểu Rasa qua quy trình xây dựng một chatbot giúp bạn trả lời câu hỏi: ""Hôm nay ăn gì?""",2,237,134,0,5,118,144,2360
7 điều bạn cần biết để tận dụng tối đa Laravel Model,1,97,81,0,0,18,32,232
Tạo một Django API trong vòng 20 phút,1,182,148,0,0,31,87,569
Design Pattern: Adapter Pattern,3,77,70,0,2,8,25,389
Scout Elasticsearch Driver In Laravel,0,89,122,0,1,46,36,595
Bảo mật session trong Rails,2,276,205,0,0,68,100,78
Method chaining trong Ruby,1,21,49,0,0,19,51,51
Design Pattern: Iterator Pattern,2,46,37,0,2,4,17,272
Một vài hiệu ứng animation đẹp cho iOS app,0,122,98,3,1,40,84,121
"Bạn đã thật sự hiểu giá trị “Initial”, “Inherit” và “Unset” trong CSS?",0,140,77,0,0,11,54,1565
Cách zoom out and zoom in VideoPlayer giống Youtube,8,43,37,0,2,56,45,170
Query tuning (Part 1),13,184,80,0,0,34,167,958
Cùng thử viết một game xếp hình (Tetris) hoàn chỉnh từ con số 0 (Phần 2: Phát hiện va chạm),1,222,21,0,5,92,232,661
Linux Shell và Shell Script - Variables - Basic Operators,8,202,156,1,69,60,152,673
Rasa chatbot: Tăng khả năng chatbot với custom component và custom tokenization(tiếng Việt + tiếng Nhật),14,273,142,2,3,201,244,2888
Image Retrieval với thư viện FAISS,0,117,104,0,9,88,116,1137
Mang câu lệnh của Ubuntu lên Windows 10 bằng WSL,2,69,61,0,2,29,44,1297
OK google - Hey Siri - Sunnie ơi,2,173,108,0,1,52,149,193
Chrome DevTools: Elements tool,1,108,73,0,3,27,81,455
Tìm hiểu về Functional Reactive Programing và RxJS,12,261,373,5,13,84,162,313
Tập tành học làm Android (P1) - cơ bản,0,207,92,10,6,83,96,487
Kết Nối Ứng Dụng Nodejs Với Python,0,60,82,0,0,16,45,771
"Javascript Proxy, Reflect và câu chuyện reactive",0,27,6,0,0,2,34,156
Một vài tips sử dụng Flatlist để cải tiến performance trong React Native,0,133,78,0,7,38,66,1246
Những đứa con rơi của HTML! (Phần 2),1,171,52,0,0,28,61,983
Xử lý ngày tháng trong chatbot với Tiếng Việt,1,63,19,0,0,18,93,494
Sử dụng CameraX trong Android,0,92,70,0,0,70,78,356
[Tutorial] Đăng ký tài khoản Amazon và deploy dự án laravel(Phần 2),2,39,105,0,0,22,45,140
Carbon - Thao tác với thời gian thật đơn giản,0,77,16,0,2,22,20,895
Làm thế nào để kiểm thử phần mềm bằng tiếng Nhật mà không biết tiếng Nhật ?,0,150,13,0,0,21,62,48
Cách điệu những hình khối 2D đơn điệu bằng cách thay đổi thị  giác ! 3D cơ bản PTS !,6,133,113,1,19,76,174,313
Giao tiếp giữa các cửa sổ với Window.postMessage API,0,51,31,0,0,26,37,1490
Lựa chọn những thuộc tính quan trọng nhất trong một tập dữ liệu,2,184,45,0,2,52,82,240
Sử dụng Rasa Custom Actions xử lý cuộc hội thoại cho chatbot,0,72,44,0,0,59,53,886
Bài 8. Tích hợp Hyperledger Explorer (Blockchain Explorer) cho Hyperledger Fabric.,3,37,64,0,0,29,23,434
Tôi đã bắt đầu học DevOps như thế nào. Phần 2: Configure,17,172,108,9,1,92,89,481
Android CameraX,0,93,63,0,0,84,52,314
"Tạo model, migration, seeds với Sequelize",1,61,81,0,1,43,58,551
Chia bố cục layout với CSS Grid Layout,8,111,68,0,1,43,114,1066
Tìm hiểu giao thức IP (Phần 2),9,98,36,0,10,66,85,426
Tớ đã làm một trang giống Hackertyper như thế nào,1,36,35,0,1,18,63,1488
Phân vùng trong Hive,2,56,8,0,0,29,55,96
Sử dụng Portainer để quản lý Docker apps,0,63,101,0,1,19,24,2297
Android Pentesting và các vấn đề liên quan,9,127,154,0,0,93,59,460
Tìm hiểu CodeQL,0,129,57,0,1,60,164,506
Laravel xuất file excel sử dụng thư viện maatwebsite,0,21,54,0,0,36,46,461
Trang web đầu tiên của mình thật đơn giản với mô hình MVC trong ASP .Net Framework,0,98,175,12,4,57,39,2288
