text,total
バグが発生したら,1
前バージョンの回避コードを正しく修正,1
各コンポーネントの独立性を高める,1
よいコードを参考にする,1
本当の問題を見極める,1
修正が他のルートに影響を及ぼさないように,1
性能を落とさないよう注意,1
確認テスト手順の確立,1
バグ修正において最も大切なこと,1
お疲れ様です,1
失礼します,1
わからなかったので,1
もう一度お願いします,1
日一国十大会人年二本三中,1
かんゆうから,1
オハヨウゴザイマス,3
ｵﾊﾖｳｺﾞｻﾞｲﾏｽ,1
０１２３,1
ｵﾊﾖｳｺﾞｻﾞ,1
ｲﾏｽ,1
stützle,1
，,3
😲,1
😴,2
👺,1
🤢,1
🤠,1
👽,1
❓,4
❆,2
osコマンド,1
urlsessionconfigurationのurlcache,1
🤟,1
ωx,1
xiωb,1
∀,2
λgx,1
🌺,2
𝌆,2
ϵrf,4
τpu,1
qiτ,1
λqi,4
xtη,1
η,3
xtxtηfxt,1
θtθtη,1
∇,5
fθt,2
θθη,1
fθxiyi,1
≝,1
ruiqiτ,2
qiγeui,1
puλqi,1
puγeui,1
qiλpu,1
μbibuqiτ,1
kruiμbibuqiτ,1
sumiϵnu,1
iϵnuxi,1
sumaϵau,1
μbi,1
tqiτ,1
ruiμbibupuτ,1
❁,2
➤,1
githubのリポジトリ名,1
githubのリポジトリ,1
¹⁷⁰,1
⁸⁰,1
trung母親,1
神,1
⁵,3
ẛ,2
ṩ,2
❗,3
∏,3
♦,1
к,1
ものくろ,1
🤡,1
基本設定basic,1
設定setting,1
🙊,1
⌫,1
🌼,1
🛩,1
📚,1
🐲,2
🐉,2
🔚,5
អ,2
នកច,2
េ,12
ះ,5
ន,10
ិ,13
យ,8
ា,29
យភ,2
ខ,5
ម,6
ែ,3
រទ,2
ច,16
ំ,12
ណ,5
ដ,9
ឹ,3
ង,6
វ,3
ទ,7
រ,11
ជ,3
ុ,11
គ,3
៏,3
់,5
ក,7
អភ,3
វឌ,3
ឍ,3
ឋក,3
សង,3
គម,3
។,3
ព,3
ងល,1
បក,1
រឃ,1
ោ,1
សន,1
របស,1
កជ,1
លន,1
យមល,1
ឿ,1
នជ,1
ងបច,1
ប,2
បន,1
ើ,1
នដ,1
ូ,1
សហភ,1
ពអ,1
ឺ,1
៉,1
បប,1
នផ,1
ដល,1
ល៣ខ,1
ឲ,1
⃗,2
textinputなど,1
itsignin画面のスナップショットテスト,1
縧,1
¨,1
🧐,1
ˈtræfɪk,1
cccカバレッジとは,1
テストカバレッジがどんなものかは,1
他の記事を読んでください,1
その上で,1
テストケースの分類,1
cccについて説明します,1
以下のようなコードのテストケースを考えて見ます,1
命令網羅率,1
全ての処理,1
命令,1
をテストするカバレージのことをcと呼びます,1
処理に着目して,1
すべての処理が１回以上実行されるような条件でテストケースを作成します,1
上記のコード例で,1
cを満たすテストケースを書くためには,2
少なくとも処理,1
処理,2
処理は１回以上テストを通す必要があるということです,1
例えば,7
inputとして,2
処理と処理をチェック,2
の２パターンをテストすることで,1
cを網羅できます,2
入力条件,2
条件分岐,8
分岐網羅率,2
条件分岐に注目して,1
条件式のすべての組み合わせをテストするカバレージのことをcと呼びます,1
条件に着目して,1
全ての条件についてtruefalse等の判定結果を網羅するようにテストケースを作成します,1
上記のコード例では,1
処理処理,4
を通る４ケースが必要ということです,1
の４パターンをテストすることで,1
条件網羅率,1
条件分岐内の条件に着目して,1
全ての条件結果をテストするカバレージのことをcと呼びます,1
との違いは,1
andやorで複数の条件が結ばれていても,1
それぞれを独立した条件と見なします,1
条件分岐に着目すると,1
２つの条件がorで結ばれています,1
cではこの条件式を１つとして見なして,1
truefalseの結果を確認するが,1
cでは別々の条件として考えます,1
つまり,1
とすることで,1
この２つの条件式を内包する条件分岐のテストパターンを網羅できます,1
もちろん最終的には,1
も含めて考える必要があるため,1
テストケースの総数はとなります,1
条件分岐ではパターン,2
パターン,1
条件分岐input,2
どこまでテストすべきか,1
テストカバレージ,1
％,1
と言っても,1
cccのどの条件下でテストケースを書くかでは,1
精度やテストケース数が異なります,1
上記のコードを誤って,1
以下のように間違えたとしましょう,1
cの条件下でテストケースを書いた際に,1
以下のようなパターンでチェックしていた場合,1
結果はすべて期待通りの動きをします,1
処理と処理,4
そして,7
コードカバレッジとなるわけです,1
こんなテストをしていたらプログラマー失格ですが,1
ここまで読んでいれば分かりますが,1
とした場合に,1
期待どおりには動かずバグとして発見されます,1
結果として,1
コードカバレッジなのにバグが見つかって,1
バグ報告と修正にかかる手間が残るのです,1
バグが発生した際の,1
バグ調査や修正にはそれ以上の時間がかかる可能性があると考えると,1
きちんとテストはすべきだと言えます,1
同様に,2
どのようなテストをすべきか,1
cccのどの条件を使うかの認識を,1
プログラマー同士で合わせておくことも大切と言えそうです,1
łukasz,1
✤,27
º,1
ダン,1
クァン,1
ミン,1
😮,2
➶,3
clienthelloとserverhello,1
straßen,1
­,3
übergangs,1
änderungs,1
smörgåsbord,1
microsoftは,1
ā,1
ě,2
ǽ,1
ж,1
✂,1
😤,3
𝐿𝑐𝑜𝑛𝑡𝑒𝑛𝑡,1
𝐿𝑠𝑡𝑦𝑙𝑒,1
‹,1
´,1
すもももももももものうち,2
すもも,3
yy年mm月dd日,1
性別,1
生年月日,1
experimenthistorysummary実験の歴史summaryarrayinteger,2
❎,4
⁉,1
＃,2
💅,2
❋,5
∂,29
οn,3
🌈,5
☀,1
❈,4
,3
diﬀers,1
ﬁnal,2
γxsmash,1
γx,1
γleft,1
✎,1
இ,1
⏏,1
💘,1
ⅰ,2
ⅱ,2
⬢,2
◎,7
wrocław,5
＋,2
パックマン,1
rssリーダー,1
windowsアカウント,1
₫,37
／,13
⅓,1
崩,1
⬛,1
👈,1
🌀,1
οlog,3
🐓,1
🥚,1
effort工数,1
now今すぐ始める,1
nhanh高速セットアップ,2
cao詳細設定,1
bundleバンドル,1
workspacesの起動,1
workspacesコンソールの起動,1
workspacesの起動中,1
⁄,1
あいだ,2
nのあいだ,1
いあいだ,1
ているあいだ,1
るあいだ,1
vーている,1
つづけ,1
私は勉強している間,2
弟は遊んだ,1
弟は遊んでいた,1
vーていた,1
かったあい,1
彼はドイツで勉強していた間,1
叔父の家族と一緒に生活していたらしい,1
かれはドイツでべんきょうしていたあいだ,1
おじのかぞくといっしょにせいかつしていたらしい,1
彼は会議の間ずっといねむりをしていた,1
かれはかいぎのあいだずっといねむりをしていた,1
彼女が戻ってくるまでの間,1
喫茶店で本を読むことにした,1
かのじょがもどってくるまでのあいだ,1
きっさてんでほんをよむことにした,1
友子は,1
大阪にいる間は元気だったが,1
東京に引っ越したとたんに体をこわしてしまった,1
ともこは,1
おおさかにいるあいだはげんきだったが,1
とうきょうにひっこしたとたんにからだをこわしてしまった,1
子供が小さい間は,1
なかなか夫婦での外出ができなかった,1
こどもがちいさいあいだは,1
なかなかふうふでのがいしゅつができなかった,1
あいだに,1
nのあいだに,1
naなあいだに,1
いあいだに,1
ているあいだに,1
るあいだに,1
する,2
しはじめる,1
になる,1
授業の間にずっとおしゃべりをしていた,1
授業の間に回質問をした,1
たあいだに,1
留守の間にどるぼうが入った,1
るすのあいだにどるぼうがはいった,1
時から時までの間に一度電話を下さい,1
４じから５じまでのあいだにいちどでんわをください,1
家族がみんな寝ている間に家を出ることにした,1
かぞくがみんなねているあいだにいえをでることにした,1
祖母が元気な間にいるいる話を聞いておこう,1
そぼがげんきなあいだにいるいるはなしをきいておこう,1
あそこも日本人旅行者も少ない間に行っておかないと,1
きっとすぐに開発されて日本人だらけになるだるう,1
あそこもにほんじんりょこうしゃもすくないあいだにいっておかないと,1
きっとすぐにかいはつされてにほんじんだらけになるだるう,1
あと,3
nのあと,1
vーたあと,1
試験の後はいつも気分が落ち込む,1
しけんのあとはいつもきぶんがおちこむ,1
今日は夕食の後,1
友達とゲームをすることになっている,1
きょうはゆうしょくのあと,1
ともだちとはなびをすることになっている,1
パーティーが終わったあとの部屋はとても散らっていた,1
パーティーがおわったあとのへや,1
はとてもちらかっていた,1
nのあとで,1
vーたあとで,1
そののちに,1
田中さんにお世話になったから,1
引っ越しの後で改めてお礼にうかがおう,1
たなかさんにはおせわになったから,1
ひっこしのあとであらためておれいにうかがおう,1
映画を見たあとで,1
トルコ料理を食べに行きましょう,1
えいがをみたあとで,1
トルコりょうりをたべにいきましょう,1
詳しい釈明を聞いたあとにも,1
やっぱりおかしいという疑念は残っていた,1
くわしいしゃくめいをきいたあとにも,1
やっぱりおかしいというぎねんはのこっていた,1
vーたあとから,1
新製品の企画を提出したあとから,1
新しいい企画は当分見合わせたいと上司に言われてがっかりした,1
しんせいひんのきかくをていしゅつしたあとから,1
あたらしいきかくはとうぶんみあわせたいとじょうしにいわれてがっかりしあた,1
あとから,1
あとから文句を言われても困るので,1
何か言いたいことがある人は今のうちに出してください,1
あとからもんくをいわれてもこまるので,1
なにかいいたいことがあるひとはいまのうちにだしてください,1
入学試験の合格通知が来たの喜んでいたら,1
あとからあれはまちがいだったという知らせがきて,1
がっかりした,2
にゅうがくしけんのごうかくつうちがきたのよるこんでいたら,1
あとからあれはまちがいだったというしらせがきて,1
あとで,1
あとでまた電話します,1
あとでまたでんわします,1
あとで一緒に食事しませんか,1
あとでいっしょにしょくじしませんか,1
おかあさん,2
お人形の首がとれちやった,1
直してよ,1
おにんぎょうのくびがとれちやった,1
なおしてよ,1
はいはい,1
あとでね,1
あとじゃなくて今,1
あとじゃなくていま,1
今忙しいんだから,1
ちょっと待ちなさい,1
いまいそがしいんだから,1
ちょっとまちなさい,1
いぜん,2
前,1
以前一度このホテルに泊まったことがある,1
いぜんいちどこのホテルにとまったことがある,1
先生は以前にも増してお元気そうで,1
とてもさいとは思えないほどだった,1
せんせいはいぜんにもましておげんきそうで,1
とてもさいとはおもえないほどだった,1
nいぜん,1
その地方では先週の大地震以前にも何度も小さな地震が起こっていた,1
そのちほうではせんしゅうのだいじしんいぜんにもなんどもちいさなじしんがおこっていた,1
彼の才以前の作品にはほかの画家の影響が強く見られる,1
かれのさいいぜんのさくひんにはほかのガかのえいきょうがつよくみられる,1
るいぜん,1
彼は映画監督になる以前は画家かったらしい,1
かれはえいがかんとくになるいぜんはがかかったらしい,1
新しい企画を始める以前に,1
今までのものをもう一度見直してみる必要もあるのではありませんか,1
あたらしいきかくをはじめるいぜんに,1
いままでのものをもういちどみなおしてみるひつようもあるのではありませんか,1
いつかv,1
いつか見た映画の中にもこんな台詞があった,1
いつかみたえいがのなかにもこんなせりふがあった,1
彼とはいつかどこかであったことがあるような気がする,1
かれとはいつかどこかであったことがあるようなきがする,1
☆,11
⊕,1
½,2
,1
苹果,1
µlaw,1
吾輩は猫である,1
δtime,3
🤮,1
🤙,1
‐,1
ślesarew,1
びょういん,2
びよういん,2
français,2
pastyマーク,1
█,1
markbåge,2
保存してデプロイ,1
シミュレータ,1
¾,1
５api,1
🇻,4
🇳,4
🌸,2
日本語の聴解上達させるつの方法,1
📍,1
お手数をおかけして恐縮ですが,1
お手すきの時で結構です,1
例文,1
テンプレート,1
件名,4
研修セミナー,1
ご講演の依頼,1
はじめまして,2
､,7
部の鈴木と申します,1
突然のメール,1
失礼いたします,1
さて,1
このたびは弊社主催の研修セミナーにて,1
山本先生にぜひご講演をお願いしたく,1
ご連絡させていただきました,1
先生が現代のアジア経済について書かれておられる,1
ホームページは社内でも話題となっております,1
先生のお話は,1
わが社の社員にとって,1
貴重なものになると確信しております,1
ご多用中のところ誠に恐縮ですが,1
下記のようなテマおよび条件にて,1
ご講演をお願いできればと考えております,1
メールでかまいませんので,1
至急,1
ご回答をお願いいたします,1
お手間をかけて申し訳ない,1
joël,1
集計関数,1
点数,1
成績表,2
sum関数,1
関数,1
数学,1
科目,2
💶,1
私は農家出身です,1
毎日,1
仕事が大変なものの,1
両親は一生懸命に働いています,1
両親からの努力とお喜びを感じました,1
両親は私たちの世代が幸せになることを願っています,1
私は成長して,1
ベトナムの農業再生への道を探していきたいと思います,1
ベトナムの農業の問題,1
現代,1
ベトナムの農業の問題は二つの主な問題点があります,1
一つ目は企業と農家との連携が弱いです,1
まずは,1
農家から消費者に製品を流通させる過程で仲介者が多過ぎます,1
このため,1
生産と加工の企業は材料が不足だが,1
農民は豊作するも農産物を売れません,1
もし流通する過程は仲介者が減れば,1
企業と農民の利益が上がると思います,1
農民は市場の情報を深く把握できていないので,1
高い利益があるものを見ると,1
すぐに生産を変更します,1
軽率だと思います,1
二つ目は農産物の質をコントロールできていないことです,1
栽培する時,1
多くの農薬を使用します,1
収穫した農産物の質は均等ではないのです,1
質は製品の肝要な要件ですので,1
輸出できません,1
国内の市場だけでの販売は利益が低いのも当たり前のことだと思います,1
農業の仕事は大変だが,1
利益は低いです,1
二つの問題のせいで,1
ますます多くの若者が農業を辞めます,1
二つの問題解決策を見つかることでベトナムの農業問題を解くことができると思います,1
問題解決策,1
現在,1
唯一の方法は科学だと思います,1
英語で,1
を呼ばれます,1
agritechとは技術を使って農業生産に適用することです,1
科学は農業を救うかどうか,1
問題を解決し,1
もたらす成果を見てください,1
問題一を解決するために,1
イスラエル人から学びましょう,1
ユダヤ人の知恵,1
以下のモデルの名前は,1
四家モデル,1
です,1
四家は政府,1
企業,1
科学者,1
農家を含めます,1
科学者は政府のために働いて,1
政府から給料をもらいます,1
農家の畑で実験して,1
研究します,1
その代わりに,1
彼らは農家に技術を支援します,1
政府はスタートアップ企業を応援し,1
資本を支援します,1
企業は成功する時,1
ゆっくりと資本を回収します,1
様々ないいアイデアからきちんと選択し,1
サポートすることで,1
損失率は低くなると思います,1
科学者からの技術は国内で使われるだけではなく,1
外国にその技術を輸出し,1
儲けることができます,1
企業は農家から製品を購入し,1
市場に販売します,1
一方で,1
企業は農家に技術をサポートし,1
機械を販売します,1
そして戦略,1
農産物の需要を調整するために市場も調査します,1
農民は科学者からの技術や企業の生産設備を導入します,1
この時,1
企業と農家との連携があったので,1
農民は農作物の値段が安心です,1
新しい農民はこのモデルに参加する時,1
他の農家からの支援や経験を得ます,1
問題二を解決するために,1
日本人から学びましょう,1
レタス王国,1
川上村の奇跡のカギは,1
日本一のレタス産地として知られる長野県川上村です,1
この村の村長は,1
希望の国,1
日本を再生するためには,1
人づくりこそが大事,1
と語ります,1
川上村は,1
産業があったから人が育った,1
ではなく,1
人がいたから産業が育った,1
と言いました,1
人を育てることにちゃんと投資すれば,1
そこに住む人たちの幸運の総量を増やすことができます,1
この川上村のモデルは,1
ベトナム全国の村でも実践できるのではないでしょうか,1
答えはできますよ,1
最近,2
dalatで川上村のモデルを構築していて,1
いくつかの成果が出ました,1
まだベトナムの,1
奇跡の村,1
と呼ばれていないのですが,1
もしかするとその姿はベトナム農業の将来を象徴しているようにも映るかもしれません,1
農業のソーシャルネットワーク,1
なぜですか,1
私は農産物を売るサイトを見て,1
面白い発見がありました,1
農業に関してソーシャルネットワークもあります,1
農業のソーシャルネットワークというと,1
日本の技術にかけては最高のレベルです,1
では,1
現代日本ではどうやってそのアイデアを開発しますか,1
この記事では,1
楽天農業,1
という農業ソーシャルネットワークの特徴のポイントを紹介したいんです,1
ragriはcsaコミュニティ支援型農業とitを組み合わせた新しい農業サービスです,1
スマートフォンと実際の畑をつなぎ,1
好きな作物を遠隔栽培することができます,1
利用者にとって,1
好きな作物を選ぶと,1
選んだ農家さんが畑のお世話をしてもらいます,1
収穫した農作物は,1
産地から直接あなたの自宅にお届けします,1
農産物の質はどうでしょうか,1
農作物はすべて有機農業です,1
農作物の成長写真が農家さんから届きます,1
成長過程を楽しむことができるだけでなく,1
栽培状況がわかるので安心です,1
農作物の成長を書くことはfacebookでstatusを書いて,1
写真を添付するのは同じですよ,1
このモデルに対して,1
農家から消費者に製品を流通する過程は近くになります,1
消費者にとって農産物の質は安心です,1
農家,1
地域農業を支援することもできます,1
結論,1
年前,1
ベトナムの農業は牛や粗雑な農具のイメージと関連しましたが,1
現在は多くの技術,1
機械を使うことができます,1
年後,1
私たちの国の農業はどんな姿になるでしょうか,1
そのことを考えると,1
わくわくしています,1
参考した資料,1
jörn,1
テスト,2
❄,1
❉,1
❅,1
またね,1
宛名,1
本文,1
署名,1
てにをは,1
サービスのご提案,1
初めてメールをお送りします,1
このたび,2
様よりご紹介いただきご連絡いたしました,1
部にて営業を担当しております,2
と申します,3
様より,1
弊社で取り扱っております,1
につきまして,1
様が導入をご検討されているとお伺いしております,1
よろしければ,1
貴社のご状況をお聞きしながら,1
最適なサービスの詳細や導入メリットなどをご説明する機会を頂戴できれば幸いです,1
早速ではございますが,1
下記の日程の中でご都合はいかがでしょうか,1
新任のご挨拶,1
平素は弊社サービスをご利用いただき,1
誠にありがとうございます,1
前任の,2
に代わり貴社の担当をさせていただくことになりましたため,1
ご挨拶をさせていただきたくご連絡いたしました,1
不慣れな部分も多々あり,1
ご迷惑をおかけすることもあるかと存じますが,1
いち早く貴社のお役に立てるよう努めます,1
本来であれば直接伺うべきところですが,1
まずは取り急ぎメールにて失礼いたします,1
改めて,1
とお伺いするお時間を頂戴できれば幸いでございます,1
初めまして,1
社の,1
お世話になっております,2
オフショアが厳しいとの声は,1
今に始まったことではありません,1
一般的にオフショア開発は経済格差を利用したビジネスモデルです,1
成長著しい国でオフショアをしているのであれば,1
人件費の高騰で年々厳しくなるのは当然ですよね,1
大まかにブリッジseの将来について気になることを箇条書きにしてみました,1
これだけ中国やasean諸国が発展した今,1
海外で開発するメリットってあるの,1
ブリッジseに将来はあるのか,1
管理コストやクオリティを考えると日本の田舎で開発した方が得なんじゃないの,1
企業はわざわざ海外に発注するリスクを取らず国内志向に変わるのではないか,1
いまからブリッジseになるのはリスキーなんじゃないだろうか,1
当記事はオフショア開発をはじめたい企業向けではなく,1
ブリッジseになりたい方に向けて書いています,1
発展途上国の成長,1
東南アジアとはじめとする発展途上国は急速に発展しています,1
ほんの数年でガラリと変わってしまう都市をみるだけで,1
年々賃金格差が埋まっていることがよく分かります,1
成長著しい国を知ると,1
ブリッジseを目指しても大丈夫なのか,1
と心配になりますよね,1
発展途上国のitエンジニアの給与が上昇しやすいワケ,1
itの仕事に国境はありません,1
世界のphpプログラマは同じ土俵にいます,1
もちろん国により人気のフレームワークや言語がありますが,1
ほぼ同じ仕事をしています,1
労働ビザや許可証の問題はさて置き,1
コミュニケーションツールとしての言葉の問題さえクリアしてしまえば,1
どの国でも仕事ができるのがitエンジニアのメリットです,1
仕事を依頼する立場からみるとよくわかるのですが,1
itほど発展途上国に振りやすい仕事は他にありません,1
これは日本で働くエンジニアの給与が上がらない理由でもあります,1
日本語が話せるという価値以上に違いがあればよいのですが,1
ブリッジseの話に戻しましょう,1
オフショア開発が広がっていくなかで避けて通ることができない問題があります,1
発展途上国にいるデキるエンジニアの奪い合いと賃金の上昇,1
発展途上国のitエンジニアの需要は高まるばかりです,1
東南アジアやインドでオフショア開発をしている経営者から悲痛な叫びが聞こえてきます,1
発展途上国に仕事を依頼するのは日本だけではありません,1
欧米の企業もこぞって東南アジアに進出しています,1
できるエンジニアはひっぱりダコです,1
数年で給与が倍になるようなケースも珍しくありません,1
かつて私の部下として仕事をしていたスタッフは年で倍も給与が上がっています,1
夢がある世界ですね,1
物価が上昇してしまったら,1
経営者としてみるとオフショア拠点の賃金上昇は死を意味します,1
より付加価値の高いサービスが提供できるのであれば生き残っていけます,1
しかし,1
デキるエンジニアほど好待遇を求めて転職してしまうことから,1
サービスの品質を維持するのがやっとです,1
オフショア拠点の賃金が上昇してしまった場合は,1
賃金の安い地方都市にオフィス移転したり,1
さらに単価の安い国を求めて移転します,1
地方都市への展開,1
さらに物価の安い国へ,1
ブリッジseの今後について,1
日本にitがなくならないかぎり安い人件費を求めて海外の開発拠点は移り変わっていくでしょう,1
製造業と同じです,1
ただ製造業より拠点を作るのに資金が必要というわけではありません,1
オフィスと回線さえあればできるのがオフショアです,1
今後,1
より多くの企業が海外を目指すのは間違いありません,1
まとめ,1
ブリッジseは製造業と同じように経済格差があるかぎりなくならない仕事です,1
ブリッジseの求人は一般公開されないことが多いのはご存知でしょうか,1
求人は一般的な求職サイトで探すのではなくエージェントを利用するべきです,1
海外のitに強い人材紹介会社をリストアップしてありますので参考にして下さい,1
nυ,1
選択,2
射影,2
結合,2
｝,1
学生表,2
論理演算子,1
ろんりえんざんし,1
比較演算子,1
ひかくえんざんし,1
logic論理演算子,1
あいまい検索,1
sinh学生表,1
担任表,1
担任,2
ಠಠ,1
サーバ側のデータを同期する,1
メールする,1
ça,1
📌,2
表の操作,1
挿入,1
資格コード,2
資格名,1
取得日,1
学籍番号,1
推移的関係従属,1
enzymeのインストール,1
または,4
現在のreactバージョンに合わせてenzymeとadapterをインストール,1
現在のreactバージョンはであった場合,1
注意,1
jsをコンプラいする時,1
を利用できるようにこちらのパッケージを追加インストールすると良いでしょう,1
はpure,1
function現在の状態,1
を取得し,1
とあるアクションを呼び出した後,1
新しい状態を返す関数のため,1
再度アフェリエイトはありません,1
ここでmockingは不要です,1
jestはデフォルト,1
のフォルダーの配下にある,1
又はの拡張のファイルを探してくれる,1
のフォルダーにreducerを置きた場合,1
テストのフォルダーは,1
のように作られます,1
最もシンプルなreducerのテストケースは初期値,1
こちらは初期の状態,1
を定義,1
アクションの定義などは不要です,1
一つのアクションを追加し,1
返す状態は正しいかどうかのテストを作る場合,1
このソースコードになります,1
個人的に,2
jestはrspecに似ていて,1
読みやすくわかりやすくテストケース手法です,1
objectが複雑な場合,1
にはnested,1
state用のメソッドを提供し,1
またはcustom,1
expectationsを利用,1
アクションのテストデフォルトミドルゥエア,1
でアクションを実行する,1
サーバからのデータを取得するというサイドエフェクトなどを作ることができるために,1
は必須です,1
コンポーネントテスト,1
スナップショットテスト,2
多くの会社が公表された,1
という機能を持っている,1
最初,1
コンポーネントの構成をフォルダーにカプチャ,1
スナップショットされたコンポーネントには何かの変更があった場合,1
コンポーネントのテストケースにはエラーが発生します,1
linkというコンンポーネントを用意します,1
終わり,1
長くなりましたがこの記載を使ってreact,1
reduxのユニットテストできたら嬉しいです,1
何か疑問がありましたら,1
下にコメントしてくれたら嬉しいです,1
以前,1
ベトナムでのオフショア開発を行っている企業でブリッジseとして働いていました,1
日本で詳細設計書を作成し,1
ベトナムでコーディング,1
単体テストを行います,1
その後,1
日本で再度テストを行い,1
納品と言う流れでした,1
日本人エンジニアは日本語,1
ベトナム人エンジニアはベトナム語と英語だったため,1
エンジニア間で直接コミニュニケーションがとれません,1
双方のエンジニア間では,1
ベトナム人翻訳者が活躍してくれていました,1
日本人エンジニアが日本語で作成した詳細設計書を,1
ベトナム人翻訳者が日本語からベトナム語へ翻訳します,1
単体テスト仕様書も,1
ベトナム人翻訳者が日本語で作成し,1
日本人エンジニアがレビューしていました,1
コミニュニケーションツールは,1
skypeをメインに利用していました,1
そんな,1
ベトナムでのオフショア開発で私が気をつけていたことをまとめました,1
時間管理に気をつけよう,1
日本とベトナムの時差は時間で,1
ベトナムが時間遅いです,1
急ぎのタスクで,1
時までにお願いします,1
と依頼するときは,1
どちらの国の時間なのかをしっかり伝える必要がありました,1
ここを省略すると,1
日本では日本時間,1
ベトナムではベトナム時間として受け取ってしまいます,1
日本の時,1
ベトナムの時までにお願いします,1
が満点の伝え方だと思います,1
残業,3
休日出勤はないと考えよう,1
ベトナムの人は,1
日本人エンジニアの伝家の宝刀,1
休日出勤,1
をほぼ使いません,1
基本的に残業はしません,1
休日出勤もしません,1
仕事が終わっていなくても,1
定時になれば帰ってしまいます,1
トラブル時はお願い次第で対応してくれることもありましたが,1
彼らのモチベーションはめっちゃくちゃに下がります,1
週間の残業をお願いしたことがあったのですが,1
その週末,1
今週は疲れたので来週いっぱい休暇が欲しいと言われてしまったこともありました,1
彼らが残業,1
休日出勤した場合は,1
お給料を時給換算した場合の倍の手当てが支給されていたのに,1
定時以降にトラブルが発生したときは,1
日本でしっかり対応できるように体制を整えておくことが必要です,1
ベトナムの休日に気をつけよう,1
もちろん祝日が,1
日本の祝日とは違っています,1
月の上旬には,1
テト,1
と言うベトナムの長期休暇もあります,1
この時期は,1
だいたい週間から週間ほどの休暇をとるメンバーが多かったです,1
スケジューリングするときは,1
ベトナムの祝日も考慮して考えておくことが大切です,1
ベトナムの祝日を確認出来る,1
こちらのカレンダーが手離せません,1
タスクの詰め込みすぎに気をつけよう,1
ありますよね,1
納期がせまっていて,1
メンバーのタスクを詰め込んでおくこと,1
おそらく日本人エンジニアだったら,1
残業なり休日出勤なりして,1
対応してくれていたりします,1
泣ける,1
ベトナムの人も,1
無理なスケジュールを押し付けたら,1
まずはがんばろうとしてくれます,1
ただ,3
休日出勤はしないため,1
決められた時間内にがんばることになります,1
ひとつひとつのタスクにかける時間を減らすんですよね,1
その結果,1
明らかに品質が下がってしまうこともあり,1
バグが多発,1
納期に間に合わなかった,1
と言うこともありました,1
タスクを依頼するときにこちらの完了希望日を伝え,1
完了予定日を連絡してもらうといいと思います,1
完了予定日から遅延している場合も連絡が来ないこともありますので,1
日本側から状況確認する必要があります,1
品質の考え方の違いに気をつけよう,1
ベトナムで単体テストまで完了しているはずが,1
日本で同じ検証を実施すると,1
バグが次々に,1
ベトナムでの結果を鵜呑みせず,1
日本でもしっかりテストをすることが大切です,1
これは日本とベトナムの品質への考え方の違いが大きいと思います,1
インターネット回線ひとつとっても,1
日本では切断されることがほとんどないですよね,1
ベトナムでは低下なり,1
切断なり,1
は良くあることです,1
だからと言って,1
回線会社へ殴り込みに行くひと,1
日本のように鬼のようなクレームをインターネット上へ書き綴るひとはいないと思います,1
日本のように,1
何事も精度が高いわけではなく,1
そうゆうものだと捉えて生活しているのです,1
彼らはとてもまじめなので,1
なぜ品質が大切で,1
どこまで品質を追求してほしいか,1
等をしっかり説明すると,1
理解してくれ,1
努力もしてくれると思います,1
すぐの改善は難しい部分も多いので,1
日本でもしっかりテストを行いましょう,1
その工数もしっかりスケジューリングしておくことが必要です,1
詳細設計書はきちんと書くべし,1
初期値null,1
と記載すると,1
初期値として英字で,1
と設定されていたことがありました,1
nullって世界共通のプログラミング言語じゃないのか,1
と愕然とした瞬間です,1
日本の業務システムには良く出てきがちな,1
売上年度,1
決算年度,1
など,1
さらっと記載してもこちらの意図は届きません,1
例えば決算が月の会社は年月月月は年度となりますが,1
決算が月の会社は年度となりますよね,1
日本人であればさらっと理解してもらえますが,1
このような場合は仕組みをしっかり説明する必要がありました,1
私はサンプルの入力データを何件か記載し,1
そのデータの出力データを記載することで,1
間の処理を理解してもらっていました,1
とりあえずは,1
日本人とベトナム人と違いをしっかり把握すること,1
書いていて,1
ベトナムでのオフショア開発ってとっても大変な気がしてきました,1
わたしはベトナム人エンジニアのスキルはとっても高いと思います,1
きっちり大学で勉強しているメンバーが多いため,1
こちらの意図さえ理解してもらえれば,1
仕事はハヤイ,1
ベトナムの人たちは,1
家族をとても大切にします,1
仲間もとても大切にしています,1
とても親日家です,1
とてもまじめ,1
こちらからしっかりコミニュニケーションをとり,1
何事もしっかり説明すると,1
彼らはとても優秀なエンジニアでした,1
彼らからとんでもないコードが届いたときは,1
日本からの伝えもれと言うパターンもとても多かったんですよね,1
これは結局日本人エンジニア相手でも変わらずですが,1
しっかりコミニュニケーションをとることがいちばん大切ですね,1
ベトナムは度遊びにいったこともあり,1
大好きな国です,1
また行きたい,1
｜,3
namesreﬂecting,1
diﬀerent,1
ⅲ,1
ⅳ,1
ⅴ,1
わたしはqaのvanともうします,1
よろしくお願いします,1
バグが修正されました,1
ご確認お願いいたします,1
本当に申し訳ございませんが,1
よく理解しておりません,1
お手数ですが,1
より詳しくご説明いただけないでしょうか,1
本番環境に適用しました,1
ご確認ください,1
最新版のapkをお送りいたします,1
下記urlよりご確認ください,1
これは調査中です,1
原因が見つかり次第お知らせします,1
分かりました,1
ご指示いただいた通りに修正いたします,1
確認いたします,1
承知いたしました,1
素材をご提供いただきありがとうございました,1
